Employer,"Doing Business As","Account Status","Date Enrolled","Date Terminated","Workforce Size","Number of Hiring Sites","Hiring Site Locations (by state)"
"AAA CREDIT SCREENING SERVICES LLC",,Open,04/04/2019,,"5 to 9",2520,"AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VI, VT, WA, WI, WV, WY"
"AAA Electrical Contracting, Inc.",,Open,01/12/2011,,"10 to 19",1,VA
"AAA HOME HEALTH CARE LLC","AAA + HOME HEALTH CARE LLC",Open,03/22/2017,,"20 to 99",1,VA
"AAA Pediatric & Adult Healthcare Services,Inc",,Open,10/16/2015,,"20 to 99",2,"MD, VA"
"AAA Virginia Consulting Inc",,Open,02/07/2018,,"5 to 9",1,VA
"AAC Inc",,Open,03/05/2013,,"100 to 499",17,"AL, CA, DC, LA, MD, NC, NM, PA, TN, VA"
"AAFMAA Mortgage Services LLC",,Open,10/24/2018,,"20 to 99",1,VA
"AAFMAA Wealth Management & Trust LLC",,Open,09/10/2018,,"20 to 99",1,VA
"Aalis Management Consulting",,Open,06/03/2019,,"5 to 9",1,VA
"Aaliyahs Helping Hand Home Health Care LLC","Aaliyahs Helping Hand Home Health Care LLC",Open,09/16/2020,,"10 to 19",1,VA
"AAM 15 Management, LLC",,Open,07/26/2018,,"100 to 499",6,"MA, ME, VA, VT"
"AAR Mobility Systems",,Open,01/28/2009,,"500 to 999",4,"CA, MI, NC, VA"
"AARCO Inc",,Open,06/20/2019,,"500 to 999",7,"NC, VA"
"AARCO, Inc.",,Open,09/23/2013,,"20 to 99",8,"NC, VA"
"AArete LLC",,Open,03/16/2020,,"100 to 499",7,"CA, CO, IL, NY, TX, VA"
"AARK Solutions llc",,Open,07/22/2022,,"10 to 19",1,VA
"Aarondale Retirement and Assisted Living Community",,Open,07/30/2008,,"20 to 99",1,VA
"Aarons Inc",,Open,08/15/2019,,"10,000 and over",1180,"AK, AL, AR, AZ, CA, CO, CT, DE, FL, GA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MO, MS, NC, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, TN, TX, UT, VA, VT, WA, WV, WY"
AARP,,Open,05/07/2020,,"1,000 to 2,499",278,"AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VI, VT, WA, WI, WV, WY"
"AARP Foundation",,Open,05/07/2020,,"100 to 499",278,"AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VI, VT, WA, WI, WV, WY"
"AARP Services Inc",,Open,05/07/2020,,"100 to 499",278,"AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VI, VT, WA, WI, WV, WY"
"AASHI Enterprise LLC","Dunkin Donuts",Open,11/19/2018,,"10 to 19",1,VA
"AASHNI ENTERPRISES LLC","Dunkin Donuts & Baskin Robbins",Open,03/04/2017,,"20 to 99",1,VA
"AASKI Technology, Inc.",,Open,08/09/2012,,"20 to 99",3,"MD, NJ, VA"
"Aastha Corp.","SUBWAY #35370",Open,06/24/2022,,"10 to 19",1,VA
"Aattentive home health care","Attiventive home health care INC",Open,02/08/2017,,"10 to 19",1,VA
"AB Sciex LLC",,Open,02/03/2010,,"1,000 to 2,499",52,"AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, GU, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
"ABA VA LLC",,Open,12/31/2021,,"5 to 9",1,VA
"Abaco Strategy",,Open,02/20/2018,,"10 to 19",1,VA
"Abaco Strategy, LLC",,Open,12/02/2016,,"20 to 99",1,VA
"Abaco Strategy, LLC",,Open,03/03/2022,,"20 to 99",1,VA
"Abaco Strategy, LLC",,Open,03/03/2022,,"20 to 99",1,VA
"Abacus Consultancy Services, LLC",,Open,06/02/2008,,"20 to 99",1,VA
"Abacus Corporation",,Open,01/29/2009,,"2,500 to 4,999",2,"MD, VA"
"Abacus Corporation",,Open,01/05/2017,,"5,000 to 9,999",53,"AZ, GA, IL, IN, MD, MS, NJ, OH, PA, TN, TX, VA"
"Abacus Service Corporation",,Open,10/07/2008,,"100 to 499",4,"FL, MI, NC, VA"
"Abacus System Solutions, LLC","Abacus System Solutions, LLC",Open,04/01/2021,,"5,000 to 9,999",22,"AL, AZ, CA, ID, MS, NC, UT, VA, WV"
"Abacus Technology Corporation",,Open,03/27/2009,,"500 to 999",5,"DC, MA, MD, TX, VA"
"Abas USA Inc",,Open,02/28/2017,,"20 to 99",1,VA
"abas-USA, INC.",,Open,04/03/2015,,"20 to 99",1,VA
"Abateco Services Inc",,Open,06/02/2014,,"20 to 99",1,VA
"Abateco Services, Inc.",,Open,11/29/2011,,"20 to 99",1,VA
"Abatement Technical Services, LLC","Abatement Technical Services, LLC",Open,10/23/2013,,"20 to 99",1,VA
"ABB E-Mobility Inc",,Open,12/14/2022,,"20 to 99",1,VA
"ABB Inc.",,Open,06/16/2008,,"5,000 to 9,999",160,"AL, AR, AZ, CA, CO, CT, DC, FL, GA, HI, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, NH, NJ, NV, NY, OH, OK, OR, PA, SC, TN, TX, VA, WA, WI, WV"
"ABB Inc.",,Open,10/22/2014,,"10,000 and over",177,"AK, AL, AR, AZ, CA, CO, CT, DC, FL, GA, HI, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, NJ, NV, NY, OH, OK, OR, PA, SC, TN, TX, VA, WA, WI, WV"
"ABB Inc.",,Open,09/26/2018,,"10,000 and over",156,"AK, AL, AR, AZ, CA, CO, CT, DC, FL, GA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, NJ, NY, OH, OK, OR, PA, SC, TN, TX, VA, WA, WI, WV"
"Abba Concrete, Inc.",,Open,10/10/2012,,"10 to 19",1,VA
"ABBAA Inc.","ABBA Inc.",Open,05/07/2013,,"5 to 9",1,VA
"ABBITT MANAGEMENT, LLC",,Open,05/20/2022,,"20 to 99",1,VA
"Abbott General Construction, Inc.",,Open,06/07/2010,,"20 to 99",2,"NC, VA"
"Abbott General Construction, Inc.",,Open,09/14/2015,,"20 to 99",1,VA
"Abbott Laboratories",,Open,06/30/2016,,"10,000 and over",47,"AZ, CA, DC, FL, GA, IL, IN, MA, MI, MN, NJ, OH, OR, PR, SC, TX, VA"
"ABBTECH Corporate Office",,Open,09/17/2009,,"100 to 499",1,VA
"abc company",,Open,02/28/2008,,"20 to 99",3,"MS, TX, VA"
"ABC Consulting, Inc.",,Open,12/21/2011,,"5 to 9",1,VA
"ABC Management Technology Solutions",,Open,06/23/2009,,"20 to 99",1,VA
"ABC Managment Solutions",,Open,06/10/2009,,"20 to 99",1,VA
"ABC Pest Management LLC",,Open,05/12/2009,,"10 to 19",1,VA
"ABC Phones of North Carolina, Inc.",,Open,08/04/2017,,"5,000 to 9,999",1232,"AL, AR, AZ, CA, CO, CT, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OR, PA, RI, SC, SD, TN, TX, UT, VA, WA, WI, WV, WY"
"ABC Professional Tree Services, Inc.",,Open,10/23/2009,,"1,000 to 2,499",12,"AR, FL, GA, IN, LA, MS, OH, RI, SC, TN, TX, VA"
"ABC Supply Company, Inc.",,Open,10/20/2008,,"10,000 and over",919,"AL, AR, AZ, CA, CO, CT, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
"Abdev Solutions Inc",,Open,04/04/2022,,"5 to 9",1,VA
"Abel Home Care, Inc.",,Open,03/08/2011,,"5 to 9",1,VA
"Abes Dulles Inc",,Open,12/20/2018,,"10 to 19",1,VA
"Abes Dulles Logistics Incorporated",,Open,12/21/2018,,"10 to 19",1,VA
"Abeyon llc",,Open,03/16/2015,,"5 to 9",2,"FL, VA"
"ABF Freight System, Inc.",,Open,10/06/2011,,"10,000 and over",325,"AK, AL, AR, AZ, CA, CO, CT, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WV, WY"
"ABH STAFFING, INC",AmeriStaff,Open,02/28/2018,,"500 to 999",8,"NC, VA"
"ABH STAFFING, INC.",,Open,10/05/2006,,"100 to 499",6,"NC, VA"
"Abile Group",,Open,06/17/2008,,"20 to 99",1,VA
"Abile Group, Inc.",,Open,01/08/2020,,"20 to 99",19,"FL, MD, MO, NM, VA"
"Abilene Motor Express LLC",,Open,03/11/2021,,"100 to 499",1,VA
"Abilities Abound Physical Therapy",,Open,05/23/2018,,"20 to 99",1,VA
"Ability Home Care LLC",,Open,01/31/2022,,"20 to 99",1,VA
"Abingdon Ambulance Service, Inc",,Open,10/29/2009,,"20 to 99",1,VA
"Abingdon Ear, Nose, & Throat Associates, P.C.","Abingdon ENT",Open,02/22/2019,,"20 to 99",1,VA
"Abingdon Health & Rehab","Abingdon Health & Rehab",Open,05/01/2012,,"20 to 99",1,VA
"ABINGDON HOTEL GROUP, LLC",,Open,05/21/2021,,"20 to 99",1,VA
"Abingdon Steel, Inc.","Abingdon Steel, Inc.",Open,12/21/2015,,"20 to 99",1,VA
"Abingdon VA Opco LLC",,Open,08/28/2020,,"20 to 99",1,VA
"Abira Security Corporation",,Open,12/08/2021,,"5 to 9",4,"IL, OH, UT, VA"
"Able Electric, Inc",,Open,01/20/2009,,"5 to 9",1,VA
"Able Forces Professional Services",,Open,02/22/2013,,"20 to 99",60,"AL, FL, GA, IL, MN, MO, VA"
"Able Forces Professional Services",,Open,10/01/2015,,"20 to 99",1,VA
"Able Forces Professional Services",,Open,10/02/2015,,"20 to 99",1,VA
"Able Moving & Storage, Inc.",,Open,08/23/2013,,"20 to 99",1,VA
"ABLE Solutions, Inc.",,Open,04/15/2016,,"20 to 99",1,VA
"ABLE SYSTEMS, INC.","ABLE SYSTEMS, INC.",Open,09/07/2012,,"10 to 19",1,VA
"AbleVets LLC",,Open,12/13/2018,,"100 to 499",1,VA
"ABM Electrical Power Solutions, LLC",,Open,05/07/2009,,"10 to 19",1,VA
"ABM Healthcare Support Services",,Open,06/04/2013,,"500 to 999",70,"AL, FL, GA, IA, IL, IN, KY, MI, NC, NY, OH, SC, TX, VA, WA, WI, WY"
"ABNB Federal Credit Union",,Open,02/14/2018,,"100 to 499",1,VA
"Abnormal Security Corporation",,Open,08/11/2021,,"100 to 499",55,"CA, CO, FL, GA, ID, IL, IN, MO, MT, NC, NJ, NV, NY, OH, PA, TX, UT, VA, WA, WI"
"Abounding Grace Restaurants LLC",,Open,12/27/2017,,"100 to 499",1,VA
"About Face LLC","About Face Aesthetics Skin Care & Weight Management",Open,01/14/2013,,"10 to 19",3,"TN, VA"
"About Thyme, LLC","Manninos Italian Bistro",Open,10/25/2011,,"20 to 99",1,VA
"About Women OB GYN",,Open,01/06/2014,,"20 to 99",1,VA
"ABOUT-Consulting LLC",,Open,09/19/2008,,"20 to 99",5,"DE, NJ, NY, PA, VA"
"AboutWeb, LLC",,Open,05/21/2009,,"20 to 99",3,"MD, VA"
"Above And Beyond Cleaning Services llc",,Open,07/23/2020,,"10 to 19",1,VA
"Above Green, LLC",,Open,04/21/2020,,"5 to 9",1,VA
"ABP Corporation",,Open,07/24/2012,,"5,000 to 9,999",126,"CT, DC, IL, MA, MD, NH, NJ, NY, OH, PA, RI, TN, VA"
"ABR Services, Inc",,Open,01/05/2009,,"20 to 99",1,VA
"Abrams Learning and Information Systems, Inc.",,Open,12/17/2008,,"20 to 99",1,VA
"ABS and Affiliated Companies",,Open,11/21/2008,,"1,000 to 2,499",39,"AL, CA, CO, DC, FL, HI, IL, KY, LA, MA, MD, MN, MO, NJ, OH, OR, PA, SC, TN, TX, UT, VA, WA, WI"
"ABS LINCS VA, Inc",,Open,06/07/2019,,"100 to 499",2,"PA, VA"
"ABS SOUTHEAST LLC",,Open,09/25/2009,,"500 to 999",19,"AL, FL, GA, MN, NC, OH, SC, VA"
"Absolute Business Solutions Corporation (ABSc)",,Open,05/20/2009,,"100 to 499",1,VA
"absolute computer solutions, inc.",,Open,05/07/2008,,"5 to 9",1,VA
"Absolute Electric LLC",,Open,03/29/2012,,"5 to 9",1,VA
"Absolute Furniture Solutions",,Open,04/25/2017,,"10 to 19",1,VA
"Absolute Packaging, LLC",,Open,02/19/2008,,"10 to 19",1,VA
"ABSOLUTE RSD,LLC","ABSOLUTE RSD",Open,11/08/2022,,"10 to 19",1,VA
"Abuelos International LP",,Open,07/18/2016,,"2,500 to 4,999",39,"AR, AZ, FL, IN, KS, KY, MO, OH, OK, SC, TN, TX, VA"
"Abundant Home Care LLC","Abundant Home Care LLC",Open,01/27/2018,,"20 to 99",1,VA
"ABV IT SERVICES LLC",,Open,06/21/2022,,"5 to 9",1,VA
"ABX Air, Inc.",,Open,07/11/2008,,"1,000 to 2,499",15,"CA, CO, FL, GA, IN, KS, LA, NY, OH, RI, TN, TX, UT, VA, WA"
"AC Moore","AC Moore",Open,08/26/2016,,"20 to 99",1,VA
"AC Potomac Ops, LLC",,Open,07/03/2018,,"20 to 99",1,VA
"AC SUNRISE COMPANY LLC",,Open,06/26/2014,,"5 to 9",1,VA
"AC Support Systems LLC",ACSS,Open,01/29/2018,,"20 to 99",1,VA
"Academy Mortgage Corporation",,Open,08/07/2017,,"2,500 to 4,999",390,"AK, AL, AZ, CA, CO, DE, FL, GA, IA, ID, IL, IN, MA, MD, MI, MO, MS, MT, NC, NE, NM, NV, OH, OK, OR, PA, SC, TN, TX, UT, VA, VT, WA"
"ACADIA Pharmaceuticals Inc.",,Open,02/22/2016,,"100 to 499",50,"AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
"Acara Solutions, Inc.",,Open,09/30/2015,,"10,000 and over",32,"AZ, CA, CO, FL, GA, IL, IN, MA, MN, NC, NY, OH, OR, TX, VA, WA"
"ACC3 INTERNATIONAL INCORPORATED",AGORA-PUBLIC,Open,07/29/2015,,"10 to 19",47,"AZ, CA, DC, MD, NC, NJ, NY, TX, VA, WA"
"ACCA Child Development Center","ACCA Child Development Center",Open,10/30/2017,,"20 to 99",1,VA
"Accela Consulting Incorporation",,Open,03/25/2019,,"5 to 9",2,"NC, VA"
"Accelera Solutions, Inc.",,Open,09/08/2009,,"20 to 99",1,VA
"Accelera Solutions, Inc.",,Open,12/27/2016,,"100 to 499",2,"SC, VA"
"Accelerated Courier, Inc.",,Open,10/05/2016,,"100 to 499",15,"AL, FL, GA, IL, IN, KY, NC, PA, TN, TX, VA"
"Acceleration Point","Acceleration Point, LLC",Open,02/20/2023,,"20 to 99",1,VA
Accelligence,,Open,11/08/2007,,"20 to 99",1,VA
"Accenda LLC",,Open,07/18/2009,,"5 to 9",3,"DC, MD, VA"
"Accent Food Services, LLC",,Open,09/12/2018,,"500 to 999",24,"AZ, MD, MS, NV, PA, TX, VA"
"Accentuate Technology,Inc",,Open,09/22/2008,,"5 to 9",1,VA
"Accenture LLP",,Open,12/10/2013,,"10,000 and over",151,"AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, MA, MD, MI, MN, MO, NC, NJ, NV, NY, OH, OK, OR, PA, PR, RI, TN, TX, UT, VA, WA, WI"
"Access CIG, LLC",,Open,08/08/2018,,"1,000 to 2,499",202,"AK, AL, AR, AZ, CA, CO, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, MT, NC, ND, NE, NM, NV, NY, OH, OK, OR, PA, SC, SD, TN, TX, UT, VA, WA, WI, WV, WY"
"Access Interpreting",,Open,12/28/2022,,"20 to 99",1,VA
"Accessories for Contract Sales, Inc","Casson Art",Open,07/07/2010,,"5 to 9",1,VA
ACCfamily,,Open,04/24/2008,,"100 to 499",2,"MD, VA"
ACCFamily,,Open,09/18/2020,,"100 to 499",2,"CO, VA"
ACCfamily,,Open,05/06/2021,,"20 to 99",2,"CO, VA"
"Acclaim Technical Services, Inc.","Acclaim Technical Services, Inc.",Open,09/25/2018,,"100 to 499",1,VA
"Acclaro Research Solutions, Inc.",,Open,12/29/2010,,"10 to 19",2,"MD, VA"
"Accompong Engineering Group LLC","Accompong Engineering Group",Open,04/17/2015,,"5 to 9",1,VA
"Accordius Health at Bay Pointe",,Open,08/19/2019,,"20 to 99",1,VA
"Accordius Health at Harrisonburg",,Open,08/19/2019,,"20 to 99",1,VA
"Accordius Health at Lynchburg",,Open,08/27/2019,,"100 to 499",1,VA
"Accordius Health at Nans Pointe",,Open,08/19/2019,,"100 to 499",1,VA
"Accordius Health at Roanoke LLC",,Open,03/04/2019,,"20 to 99",1,VA
"Account Inc",,Open,07/26/2022,,"5 to 9",1,VA
"Accountabilities, Inc",,Open,12/15/2009,,"20 to 99",11,"CA, CO, VA"
"Accountable Healthcare Staffing, Inc.",,Open,07/11/2014,,"2,500 to 4,999",36,"AZ, CA, CO, FL, GA, IL, MD, MI, MO, NC, NJ, NM, NV, NY, OK, OR, TX, VA, WA"
"Accounting & Taxes Simplified","Accounting & Taxes Simplified",Open,07/31/2020,,"100 to 499",5,"TN, VA"
"Accounting Consulting Essentials Inc","ACE Consulting Inc",Open,11/18/2013,,"20 to 99",1,VA
"Accounting Legal Logistics","ALL Solutions Inc.",Open,08/14/2017,,"20 to 99",5,"AR, MO, PA, VA"
"Accounting Principals",,Open,01/02/2014,,"20 to 99",1,VA
"Accounting Principals, Inc",,Open,06/15/2016,,"1,000 to 2,499",50,"AK, AL, AR, AZ, CA, CO, CT, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
"Accounting Research & Analytics, LLC",CFRA,Open,11/08/2017,,"100 to 499",7,VA
"AccSys, Inc.",,Open,03/04/2008,,"20 to 99",54,"AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, GU, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MP, MS, MT, NC, ND, NE, NH, NJ, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VI, VT, WA, WI, WV, WY"
"ACCT, Inc.",,Open,01/08/2015,,"20 to 99",1,VA
"AccuCheck, Inc.",,Open,11/23/2007,,"10 to 19",128,"AK, AL, AR, AZ, CA, CO, DC, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, OH, OK, OR, PA, SC, TN, TX, UT, VA, WA, WI, WV, WY"
"AccuDuct Manufacturing Inc",,Open,01/29/2014,,"20 to 99",3,"AZ, VA, WA"
"AccuForce HR Solutions, LLC",,Open,12/05/2013,,"500 to 999",12,"NC, PA, SC, TN, VA"
"Accumark Incorporated","Accumark Inc.",Open,05/24/2011,,"20 to 99",1,VA
"Accunet Solutions, Inc.",,Open,08/18/2011,,"10 to 19",3,"GA, MA, VA"
"Accurate Background, LLC",,Open,04/08/2022,,"100 to 499",3,"CA, IL, VA"
"Accurate Healthcare, Inc.",,Open,08/04/2021,,"100 to 499",17,"AL, AR, FL, MN, NC, OH, PA, TN, VA, WI"
"Accurate Installations & Moving Services",,Open,11/07/2011,,"10 to 19",1,VA
"Accurate Inventory and Calculating Service, Inc.","Quantum Services",Open,10/14/2011,,"100 to 499",52,"AZ, CA, CO, CT, DE, FL, IL, IN, KY, MA, MD, MI, MO, MS, NC, NJ, NM, NY, OH, PA, RI, SC, TN, TX, VA, WA, WV"
"Accurate Marine Environmental LLC",,Open,05/31/2022,,"100 to 499",1,VA
"Accurate Marine Environmental, Inc.",,Open,05/28/2008,,"100 to 499",1,VA
"AccureIT Technologies Corporation",,Open,09/10/2008,,"10 to 19",6,"AK, DC, NJ, OK, TX, VA"
"AccuTec Blades Inc.",,Open,11/05/2015,,"100 to 499",1,VA
"AccuTrain Corporation","Developmental Resources",Open,01/26/2015,,"10 to 19",1,VA
"AccuVal Associates Incorporated",,Open,09/09/2009,,"20 to 99",16,"CA, FL, GA, IL, KY, MN, NY, OH, RI, TX, VA, WI"
"Ace & Company Inc.","Stran Technologies",Open,02/02/2022,,"20 to 99",11,"AR, AZ, CA, CT, FL, HI, MO, NM, TX, VA, WA"
"ACE American Insurance Company",,Open,11/22/2013,,"5,000 to 9,999",83,"AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, IL, IN, KS, LA, MA, MD, MI, MN, MO, MS, MT, NC, NE, NJ, NV, NY, OH, OR, PA, PR, TN, TX, VA, WA"
"Ace Carpentry, Inc",,Open,08/17/2012,,"100 to 499",1,VA
"ACE Cash Express","ACE Cash Express - Northeast Region",Open,12/12/2012,,"100 to 499",129,"DC, DE, MD, ME, PA, VA"
"Ace Electric Co., Inc.",,Open,12/17/2009,,"20 to 99",1,VA
"Ace Info Solutions, Inc.",,Open,04/23/2013,,"100 to 499",43,"AZ, CA, CO, DC, DE, FL, LA, MD, MO, MS, NJ, NY, TX, UT, VA, WV"
"Ace Quants LLC","Ace Quants",Open,10/14/2020,,"5 to 9",2,"FL, VA"
"Ace Sheet Metal Works, Inc.",,Open,07/01/2008,,"20 to 99",1,VA
"Ace Sons & Associates",,Open,01/30/2022,,"20 to 99",1,VA
"Ace Systems, Inc.",,Open,10/21/2008,,"5 to 9",1,VA
"Ace Temporaries, Inc.",,Open,02/15/2016,,"100 to 499",1,VA
"Ace Uniform Services, Inc.","Ace Uniform Services, Inc.",Open,10/05/2016,,"20 to 99",2,"MD, VA"
"Ace-Pros Inc",,Open,11/19/2013,,"10 to 19",1,VA
"Ace-Pros Inc",,Open,10/05/2018,,"10 to 19",1,VA
"ACEL - Agile Consulting Experts LLC",,Open,02/24/2014,,"10 to 19",1,VA
"ACELOXI INC",,Open,02/05/2016,,"5 to 9",1,VA
"Acelsior, Inc.","Acelsior, Inc.",Open,10/07/2010,,"5 to 9",1,VA
Acendre,,Open,05/03/2018,,"20 to 99",1,VA
"ACENTLE Inc",,Open,04/03/2017,,"5 to 9",1,VA
"Acero Health Technologies, Inc.",,Open,08/20/2015,,"10 to 19",1,VA
"Aces, LLC",,Open,09/21/2021,,"500 to 999",70,"MD, NC, SC, VA"
"Aces, LLC","Little Caesars",Open,08/13/2021,,"1,000 to 2,499",1,VA
"ACESOFT INC",,Open,04/10/2012,,"5 to 9",1,VA
"Acesur North America, Inc.",,Open,01/19/2021,,"10 to 19",2,"NY, VA"
"Acetech Group Corporation",,Open,08/13/2020,,"20 to 99",3,"IL, MD, VA"
"ACF Solutions LLC",,Open,05/05/2014,,"20 to 99",1,VA
"Achieve-1, LLC",,Open,07/25/2019,,"20 to 99",1,VA
Achieve-it,,Open,09/09/2015,,"10 to 19",1,VA
"Achievement Rehabilitation Care","Virginia Healthcare Services",Open,02/13/2011,,"20 to 99",1,VA
"Achievement Rehabilitation Care","Virginia Healthcare Services",Open,04/30/2014,,"20 to 99",5,VA
"Achievement Rehabilitation Care","Virginia Healthcare Services",Open,04/22/2016,,"10 to 19",1,VA
"Achieving Excellence LLC",,Open,09/16/2011,,"20 to 99",5,"GA, NC, SC, TN, VA"
"Achilles Consulting Group, LLC",,Open,07/19/2013,,"5 to 9",2,"FL, VA"
"ACI Federal",,Open,05/01/2020,,"100 to 499",1,VA
"ACI Federal Inc",,Open,04/08/2020,,"100 to 499",1,VA
"ACI Group II, LLC","Buffalo Wild Wings",Open,04/17/2014,,"20 to 99",1,VA
"ACI Group III, LLC","Buffalo Wild Wings",Open,04/17/2014,,"20 to 99",1,VA
"ACI Group, LLC","Buffalo Wild Wings",Open,04/17/2014,,"20 to 99",1,VA
"ACI Infotech",,Open,12/29/2008,,"5 to 9",5,"CA, MA, NJ, TX, VA"
"ACI INFOTECH INC",,Open,11/08/2011,,"20 to 99",9,"CA, MN, NC, NJ, OH, VA, WI"
"ACI Worldwide Corp.",,Open,07/08/2013,,"1,000 to 2,499",19,"AL, CA, CO, FL, GA, MA, MI, NC, NE, NJ, NY, RI, VA"
"AcisTek Corporation",,Open,11/14/2012,,"10 to 19",1,VA
"ACL USA Ltd.",,Open,11/06/2015,,"5 to 9",8,"CA, CO, FL, MD, MN, NE, UT, VA"
"Aclara Meters, LLC",,Open,03/16/2022,,"100 to 499",5,"MA, MO, NH, OH, VA"
"Aclara Smart Grid Solutions, LLC",,Open,03/16/2022,,"500 to 999",5,"MA, MO, NH, OH, VA"
"Aclara Technologies LLC",,Open,05/01/2018,,"100 to 499",4,"MA, MO, OH, VA"
"Aclara Technologies LLC",,Open,03/16/2022,,"100 to 499",5,"MA, MO, NH, OH, VA"
"ACLED Analysis Incorporated",,Open,04/19/2021,,"10 to 19",19,"CA, CO, DC, FL, GA, KS, MD, NY, TN, VA, WI"
"Acme Mechanical Contractors of Virginia, Inc",,Open,06/13/2014,,"100 to 499",1,VA
"Acolytes Home Health Care, LLC","Acolytes Home Health Care",Open,09/27/2021,,"10 to 19",1,VA
"Acolytes Home Health Care,Llc",,Open,02/24/2022,,"10 to 19",1,VA
"Acorn Health",,Open,11/19/2019,,"100 to 499",4,"FL, MI, VA"
"Acorn Health of Virginia",,Open,10/18/2019,,"20 to 99",1,VA
"Acorn Health of Virginia, II",,Open,10/18/2019,,"20 to 99",1,VA
"Acorn Science & Innovation, Inc.",,Open,03/30/2014,,"10 to 19",1,VA
"Acorn Sign Graphics, Inc.",,Open,01/22/2013,,"20 to 99",1,VA
"Acousti Engineering Company of Florida, Inc.",,Open,01/07/2010,,"1,000 to 2,499",22,"AL, FL, GA, LA, NC, TN, TX, VA"
"Acoustic Ceilings, Inc.",,Open,03/27/2009,,"10 to 19",1,VA
"Acoustical Interiors, Inc.",,Open,06/28/2012,,"5 to 9",5,"FL, GA, NC, TN, VA"
"Acoustical Sheetmetal, Inc.",,Open,06/09/2010,,"20 to 99",1,VA
"Acoustical Solutions LLC",,Open,03/07/2016,,"20 to 99",3,"TX, VA"
"Acoustical Solutions, Inc.",,Open,02/21/2014,,"20 to 99",2,"TX, VA"
"Acquisition Experts, LLC",,Open,06/28/2021,,"20 to 99",1,VA
